Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,982.84,983.04,982.01,983.04,622937009,0
2017-09-05,17:00:00,983.04,983.17,980.83,980.94,743891610,0
2017-09-05,18:00:00,980.95,981.14,980.07,980.28,524623219,0
2017-09-05,19:00:00,980.28,980.28,975.74,976.15,563401873,0
2017-09-05,20:00:00,976.13,976.15,974.7,976.15,468969205,0
2017-09-05,21:00:00,976.17,977.12,976.1,976.41,495672686,0
2017-09-05,22:00:00,976.43,977.55,976.21,977.07,1341261455,0
2017-09-06,16:00:00,977.44,980.23,977.44,980.21,537649128,0
2017-09-06,17:00:00,980.23,981.35,980.08,980.28,743953730,0
2017-09-06,18:00:00,980.3,980.38,979.05,979.25,539690131,0
2017-09-06,19:00:00,979.28,979.38,978.9,979.24,497618192,0
2017-09-06,20:00:00,979.24,980.48,979.24,980.07,460147118,0
2017-09-06,21:00:00,980.07,980.58,979.95,980.11,489358118,0
2017-09-06,22:00:00,980.11,980.8,979.84,980.05,1410532470,0
2017-09-07,16:00:00,980.04,981.5,979.82,979.85,570303207,0
2017-09-07,17:00:00,979.87,980.93,978.77,980.84,799431402,0
2017-09-07,18:00:00,980.84,981.07,979.38,979.88,625868268,0
2017-09-07,19:00:00,979.75,980.62,979.59,980.59,522880054,0
2017-09-07,20:00:00,980.58,980.68,979.72,979.84,478056806,0
2017-09-07,21:00:00,979.85,980.12,979.74,979.95,494226838,0
2017-09-07,22:00:00,979.97,980.64,979.96,980.63,1282322533,0
2017-09-08,16:00:00,980.53,980.53,978.64,978.85,543756973,0
2017-09-08,17:00:00,978.88,979.81,978.62,979.51,791603389,0
2017-09-08,18:00:00,979.55,980.43,979.55,980.02,585946761,0
2017-09-08,19:00:00,980.02,980.05,979,979.87,460652969,0
2017-09-08,20:00:00,979.87,979.88,978.5,978.91,428622674,0
2017-09-08,21:00:00,978.91,979.51,978.89,979.37,472704359,0
2017-09-08,22:00:00,979.38,979.79,978.54,979.19,1278571889,0
2017-09-11,16:00:00,979.2,985.1,979.2,984.71,587481062,0
2017-09-11,17:00:00,984.71,985.22,984.29,984.57,714837162,0
2017-09-11,18:00:00,984.58,985.92,984.45,985.88,556196987,0
2017-09-11,19:00:00,985.9,986.68,985.82,986.32,430727187,0
2017-09-11,20:00:00,986.32,986.64,986.15,986.29,413567185,0
2017-09-11,21:00:00,986.29,986.52,986.17,986.17,464371734,0
2017-09-11,22:00:00,986.16,986.8,986.09,986.72,1345122647,0
2017-09-12,16:00:00,986.8,988.4,986.8,988.4,551225392,0
2017-09-12,17:00:00,988.41,989.07,988.39,988.84,733106806,0
2017-09-12,18:00:00,988.83,990.19,988.66,990.18,572685279,0
2017-09-12,19:00:00,990.19,990.68,990.17,990.68,466419130,0
2017-09-12,20:00:00,990.68,991.21,990.65,990.73,443241990,0
2017-09-12,21:00:00,990.71,990.85,990.55,990.72,499734507,0
