Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,921.09,921.98,919.69,920.86,18671592,0
2017-09-05,17:00:00,920.86,921.29,919.19,919.56,19343257,0
2017-09-05,18:00:00,919.54,920.11,918.2,918.87,11986425,0
2017-09-05,19:00:00,918.84,918.89,915.62,915.88,12690619,0
2017-09-05,20:00:00,915.88,916.25,914.62,915.86,9455602,0
2017-09-05,21:00:00,915.82,916.48,915.18,915.97,11539633,0
2017-09-05,22:00:00,915.97,917.36,915.04,915.25,20163101,0
2017-09-06,16:00:00,915.21,920.72,915.21,918.67,14662754,0
2017-09-06,17:00:00,918.95,920.58,918.95,919.56,19490173,0
2017-09-06,18:00:00,919.56,919.78,918.54,919.05,13091368,0
2017-09-06,19:00:00,919.09,919.45,917.97,918.44,12004555,0
2017-09-06,20:00:00,918.44,918.98,917.9,918.56,11972473,0
2017-09-06,21:00:00,918.57,918.99,917.7,917.98,10050069,0
2017-09-06,22:00:00,917.98,919.35,917.39,919.34,19580493,0
2017-09-07,16:00:00,919.31,921.02,918.44,918.61,15019092,0
2017-09-07,17:00:00,918.7,919.48,918.28,919.33,18949250,0
2017-09-07,18:00:00,919.28,919.72,918.58,919.24,14444509,0
2017-09-07,19:00:00,919.34,919.85,918.75,918.75,10732006,0
2017-09-07,20:00:00,918.79,920.24,918.75,919.73,9635925,0
2017-09-07,21:00:00,919.71,919.94,918.49,918.68,10590331,0
2017-09-07,22:00:00,918.72,922.68,918.32,922.68,20933517,0
2017-09-08,16:00:00,922.57,922.57,919.69,919.78,11766761,0
2017-09-08,17:00:00,919.77,920.27,915.78,915.8,15925733,0
2017-09-08,18:00:00,915.78,916.77,915.4,916.54,12601487,0
2017-09-08,19:00:00,916.49,917.17,916,916.71,9747555,0
2017-09-08,20:00:00,916.7,916.92,914.35,914.35,9269700,0
2017-09-08,21:00:00,914.37,916.24,914.18,915.86,10595862,0
2017-09-08,22:00:00,915.89,917.73,914.74,917.72,20660405,0
2017-09-11,16:00:00,917.93,920.88,917.93,920.53,14784037,0
2017-09-11,17:00:00,920.55,921.15,918.35,919,17400690,0
2017-09-11,18:00:00,918.98,922.19,918.4,921.61,12064758,0
2017-09-11,19:00:00,921.65,922.27,920.71,920.82,9608374,0
2017-09-11,20:00:00,920.99,921.17,919.39,919.47,9077272,0
2017-09-11,21:00:00,919.42,920.95,919.01,920.77,10019296,0
2017-09-11,22:00:00,920.77,921.19,919.37,920.28,16705629,0
2017-09-12,16:00:00,920,921.01,919.27,920.66,11680566,0
2017-09-12,17:00:00,920.56,920.8,919.25,920.39,17359902,0
2017-09-12,18:00:00,920.45,921.73,920.36,921.58,11238728,0
2017-09-12,19:00:00,921.58,922.44,921.3,922.19,8931435,0
2017-09-12,20:00:00,922.2,923.2,922.15,922.83,8304530,0
2017-09-12,21:00:00,922.8,923.45,922.1,922.87,8398842,0
2017-09-12,22:00:00,922.78,923.19,921.05,923.04,17021089,0
2017-09-13,16:00:00,922.45,923.54,921.65,922.63,16842976,0
2017-09-13,17:00:00,922.61,923.4,921.56,922.41,19630068,0
2017-09-13,18:00:00,922.44,924.25,922.43,924.14,12256828,0
2017-09-13,19:00:00,924.18,924.33,922.56,922.82,10724052,0
2017-09-13,20:00:00,922.84,923.33,922.48,922.82,9628578,0
2017-09-13,21:00:00,922.84,923.59,922.35,922.96,11410746,0
2017-09-13,22:00:00,922.94,924.14,922.65,924.14,19184481,0
2017-09-14,16:00:00,924.22,924.94,922.98,924.61,14728872,0
2017-09-14,17:00:00,924.54,924.86,922.37,923.36,15076153,0
2017-09-14,18:00:00,923.45,924.07,922.12,922.53,12540718,0
2017-09-14,19:00:00,922.5,923.42,922.23,922.62,9767143,0
2017-09-14,20:00:00,922.58,924.68,922.29,923.61,10552345,0
2017-09-14,21:00:00,923.59,924.56,923.38,924.02,9228748,0
2017-09-14,22:00:00,924.05,924.36,922.48,923.52,19448726,0
2017-09-15,16:00:00,925.57,925.57,922.64,923.12,16294864,0
2017-09-15,17:00:00,923.03,923.58,922.34,923.01,12880654,0
2017-09-15,18:00:00,922.98,924.21,922.49,923.65,11707884,0
2017-09-15,19:00:00,923.68,924.63,923.46,924.23,10183799,0
2017-09-15,20:00:00,924.21,924.65,923.18,923.88,7940285,0
2017-09-15,21:00:00,923.88,924.25,923.12,923.67,9393233,0
2017-09-15,22:00:00,923.66,923.97,922.23,922.69,60031958,0
2017-09-18,16:00:00,922.53,924.42,922.02,922.99,15059102,0
2017-09-18,17:00:00,923,924.56,920.02,920.47,19364054,0
2017-09-18,18:00:00,920.48,920.95,918.69,919.18,11903297,0
2017-09-18,19:00:00,919.36,920.08,919.02,919.45,8789159,0
2017-09-18,20:00:00,919.48,923.76,918.98,923.51,10065001,0
2017-09-18,21:00:00,923.51,923.52,922.48,922.95,10304071,0
2017-09-18,22:00:00,922.95,923.82,921.96,923.82,20277851,0
2017-09-19,16:00:00,925.15,925.25,923.72,924.33,14522970,0
2017-09-19,17:00:00,924.35,924.89,923.14,923.33,15534445,0
2017-09-19,18:00:00,923.34,924.16,922.9,923.71,9294845,0
2017-09-19,19:00:00,923.71,923.95,922.3,922.32,10106676,0
2017-09-19,20:00:00,922.33,922.46,921.61,921.75,7732280,0
2017-09-19,21:00:00,921.73,922.65,921.02,922.49,7577498,0
2017-09-19,22:00:00,922.45,922.79,921.18,922.75,17940078,0
2017-09-20,16:00:00,922.92,925.43,922.92,924.97,14990001,0
2017-09-20,17:00:00,925.01,926.34,924.16,925.18,17419379,0
2017-09-20,18:00:00,925.12,925.69,921.54,923.17,12047753,0
2017-09-20,19:00:00,923.1,923.45,922.18,922.56,8766211,0
2017-09-20,20:00:00,922.57,923.09,921.86,922.01,9487763,0
2017-09-20,21:00:00,922.16,922.19,917.73,918.46,16055514,0
2017-09-20,22:00:00,918.48,919.26,918.16,918.87,19847406,0
2017-09-21,16:00:00,919.08,919.59,917.3,918.03,14428339,0
2017-09-21,17:00:00,917.88,918.15,916.6,917.8,14429597,0
2017-09-21,18:00:00,917.63,918.25,917.31,917.83,9999358,0
2017-09-21,19:00:00,917.78,917.95,917.02,917.59,6738882,0
2017-09-21,20:00:00,917.55,917.71,916.75,916.82,6785949,0
2017-09-21,21:00:00,916.78,916.83,915.95,916.16,7484364,0
2017-09-21,22:00:00,916.07,917.5,915.81,916.66,14829080,0
2017-09-22,16:00:00,918.22,919.54,917.19,919.01,9520785,0
2017-09-22,17:00:00,918.99,919.77,917.73,919.31,11445189,0
2017-09-22,18:00:00,919.32,919.54,917.63,918.02,8562120,0
2017-09-22,19:00:00,918.02,919.48,917.44,918.99,9478764,0
2017-09-22,20:00:00,919,919.81,917.39,919.31,6672019,0
2017-09-22,21:00:00,919.31,920.14,918.83,919.67,8841755,0
2017-09-22,22:00:00,919.74,922.47,917.6,922.46,19162071,0
2017-09-25,16:00:00,921.08,921.94,920.21,920.68,17182043,0
2017-09-25,17:00:00,920.73,920.84,918.97,920.01,17567566,0
2017-09-25,18:00:00,919.99,920.34,918.69,918.96,16414809,0
2017-09-25,19:00:00,919.01,920.45,918.59,919.57,11505792,0
2017-09-25,20:00:00,919.55,920.61,919.55,920.18,9823980,0
2017-09-25,21:00:00,920.16,921.69,920.16,920.37,9841540,0
2017-09-25,22:00:00,920.38,920.91,918.27,918.28,21593024,0
2017-09-26,16:00:00,918.6,920.11,917.99,919.46,15860022,0
2017-09-26,17:00:00,919.38,920.75,919.22,920.44,20523292,0
2017-09-26,18:00:00,920.42,920.81,918.96,919.23,15377972,0
2017-09-26,19:00:00,919.27,919.89,918.59,918.96,12888532,0
2017-09-26,20:00:00,918.95,919.9,918.16,919.9,9165384,0
2017-09-26,21:00:00,919.92,921.24,919.86,920.69,9569862,0
2017-09-26,22:00:00,920.67,920.88,917.04,918.91,20229250,0
2017-09-27,16:00:00,922.03,922.03,919.91,920.3,13375827,0
2017-09-27,17:00:00,920.34,920.68,918.45,918.98,16046830,0
2017-09-27,18:00:00,918.97,919.24,917.56,918.62,10284070,0
2017-09-27,19:00:00,918.64,921.04,918.56,921.04,9563770,0
2017-09-27,20:00:00,920.96,922.95,920.95,922.92,8734421,0
2017-09-27,21:00:00,922.95,923.28,922.41,922.75,9248088,0
2017-09-27,22:00:00,922.69,923.93,921.8,922.64,18858307,0
2017-09-28,16:00:00,922.56,923.08,921.97,922.61,10778483,0
2017-09-28,17:00:00,922.7,923.08,921.28,922.71,13142202,0
2017-09-28,18:00:00,922.65,923.4,921.95,922.17,12282346,0
2017-09-28,19:00:00,922.16,922.64,921.09,922.46,9164718,0
2017-09-28,20:00:00,922.45,923.17,922.18,922.82,8092377,0
2017-09-28,21:00:00,922.8,923.42,922.17,923.13,8681141,0
2017-09-28,22:00:00,923.15,923.64,922.23,922.97,19002951,0
2017-09-29,16:00:00,923.14,923.14,919.17,919.32,11769207,0
2017-09-29,17:00:00,919.22,921.45,919.14,921.45,15719917,0
2017-09-29,18:00:00,921.47,921.98,920.8,921.04,10154618,0
2017-09-29,19:00:00,920.99,921.88,920.76,921.86,8600304,0
2017-09-29,20:00:00,921.89,921.89,920.89,921.34,8484370,0
2017-09-29,21:00:00,921.33,921.77,921.02,921.66,10199439,0
2017-09-29,22:00:00,921.75,923.66,920.86,920.93,22136574,0
2017-10-02,16:00:00,921.49,925.34,921.49,924.92,13954919,0
2017-10-02,17:00:00,924.89,927.06,924.81,926.05,17521838,0
2017-10-02,18:00:00,926.08,926.66,924.78,926.22,14701707,0
2017-10-02,19:00:00,926.2,927.03,925.51,926.59,10375427,0
2017-10-02,20:00:00,926.57,927.2,926.52,927,10489906,0
2017-10-02,21:00:00,926.99,927.65,924.78,925.26,11681874,0
