Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,999.17,999.58,998.57,998.81,399521135,0
2017-09-05,17:00:00,998.81,998.99,996.7,996.85,491935223,0
2017-09-05,18:00:00,996.86,997.18,996.04,996.17,341024242,0
2017-09-05,19:00:00,996.16,996.16,991.94,992.39,353809306,0
2017-09-05,20:00:00,992.36,992.36,990.89,992.31,305126695,0
2017-09-05,21:00:00,992.32,993.44,992.29,992.57,325182359,0
2017-09-05,22:00:00,992.58,993.55,992.24,993.09,929754753,0
2017-09-06,16:00:00,993.1,996,993.1,996,320237913,0
2017-09-06,17:00:00,996.02,997.05,996.02,996.32,476097287,0
2017-09-06,18:00:00,996.34,996.44,995.18,995.41,342826171,0
2017-09-06,19:00:00,995.43,995.45,995.03,995.41,285769696,0
2017-09-06,20:00:00,995.41,996.41,995.41,995.88,292805332,0
2017-09-06,21:00:00,995.88,996.27,995.85,996,316783757,0
2017-09-06,22:00:00,996,996.64,995.79,995.89,961629211,0
2017-09-07,16:00:00,995.87,997.1,995.28,995.29,326329543,0
2017-09-07,17:00:00,995.32,996.07,994.36,995.96,487770255,0
2017-09-07,18:00:00,995.96,996.2,994.51,995.07,406212543,0
2017-09-07,19:00:00,995.06,995.87,994.85,995.84,319204289,0
2017-09-07,20:00:00,995.83,995.87,994.78,994.93,293521008,0
2017-09-07,21:00:00,994.94,995.35,994.91,995.21,314444280,0
2017-09-07,22:00:00,995.23,995.62,995.1,995.61,853860128,0
2017-09-08,16:00:00,995.5,995.5,993.1,993.36,320299172,0
2017-09-08,17:00:00,993.41,994.26,993.23,993.88,493296849,0
2017-09-08,18:00:00,993.94,994.73,993.8,994.03,382750442,0
2017-09-08,19:00:00,994.02,994.03,993.03,993.86,306133359,0
2017-09-08,20:00:00,993.85,993.85,992.5,993.03,288712648,0
2017-09-08,21:00:00,993.04,993.83,993.03,993.68,309981066,0
2017-09-08,22:00:00,993.68,994.03,992.86,993.27,893080989,0
2017-09-11,16:00:00,993.28,998.85,993.28,998.51,358761457,0
2017-09-11,17:00:00,998.53,999.32,998.53,999.17,445803011,0
2017-09-11,18:00:00,999.19,1000.21,998.89,1000.16,361871944,0
