Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-28,10:00:00,37282,37493,37257,37470,328055,0
2017-09-28,11:00:00,37465,37545,37351,37474,342899,0
2017-09-28,12:00:00,37512,37527,37192,37409,438528,0
2017-09-28,13:00:00,37408,37439,37220,37220,168549,0
2017-09-28,14:00:00,37222,37229,36950,37062,527941,0
2017-09-28,15:00:00,37081,37235,37067,37235,454265,0
2017-09-28,16:00:00,37226,37283,37122,37206,248302,0
2017-09-28,17:00:00,37185,37306,37154,37192,695766,0
2017-09-29,10:00:00,37192,37649,37192,37616,384391,0
2017-09-29,11:00:00,37617,37687,37529,37529,230078,0
2017-09-29,12:00:00,37534,37594,37465,37576,282402,0
2017-09-29,13:00:00,37553,37603,37526,37549,187601,0
2017-09-29,14:00:00,37547,37549,37433,37507,196965,0
2017-09-29,15:00:00,37513,37567,37455,37566,181399,0
2017-09-29,16:00:00,37570,37617,37477,37515,706549,0
2017-09-29,17:00:00,37514,37558,37291,37291,1296435,0
2017-10-02,10:00:00,37291,37777,37291,37580,483539,0
2017-10-02,11:00:00,37584,37644,37560,37629,160280,0
2017-10-02,12:00:00,37646,37683,37625,37649,156098,0
2017-10-02,13:00:00,37653,37662,37618,37642,142317,0
2017-10-02,14:00:00,37634,37679,37634,37660,171777,0
2017-10-02,15:00:00,37672,37676,37635,37641,218020,0
2017-10-02,16:00:00,37644,37687,37644,37647,141757,0
2017-10-02,17:00:00,37648,37752,37635,37752,562783,0
2017-10-03,10:00:00,37809,37919,37739,37804,173177,0
2017-10-03,11:00:00,37778,37851,37776,37847,203017,0
2017-10-03,12:00:00,37855,37859,37766,37817,205919,0
2017-10-03,13:00:00,37815,37857,37812,37844,133164,0
2017-10-03,14:00:00,37845,37946,37845,37939,269364,0
2017-10-03,15:00:00,37928,37938,37889,37922,53980,0
2017-10-03,16:00:00,37920,37932,37870,37932,121053,0
2017-10-03,17:00:00,37940,38037,37893,37909,508793,0
2017-10-04,10:00:00,37943,37993,37673,37692,406332,0
2017-10-04,11:00:00,37690,37749,37620,37749,200373,0
2017-10-04,12:00:00,37744,37814,37720,37814,87678,0
2017-10-04,13:00:00,37805,37805,37588,37610,219498,0
2017-10-04,14:00:00,37601,37714,37492,37714,252940,0
2017-10-04,15:00:00,37708,37785,37695,37747,93171,0
2017-10-04,16:00:00,37748,37876,37748,37876,165537,0
2017-10-04,17:00:00,37866,37942,37768,37923,1061000,0
2017-10-05,10:00:00,37942,37946,37761,37779,286991,0
2017-10-05,11:00:00,37799,37818,37718,37770,157153,0
2017-10-05,12:00:00,37740,37803,37729,37783,137796,0
2017-10-05,13:00:00,37779,37800,37755,37781,108341,0
2017-10-05,14:00:00,37780,37855,37779,37853,117684,0
2017-10-05,15:00:00,37840,37845,37789,37842,101594,0
2017-10-05,16:00:00,37829,37896,37829,37830,98225,0
2017-10-05,17:00:00,37832,37904,37793,37876,423297,0
2017-10-06,10:00:00,37914,38132,37903,38021,379077,0
2017-10-06,11:00:00,38020,38046,37970,38010,266035,0
2017-10-06,12:00:00,38000,38010,37960,37980,306929,0
2017-10-06,13:00:00,37986,37986,37915,37925,89629,0
2017-10-06,14:00:00,37930,37977,37916,37962,183117,0
2017-10-06,15:00:00,37950,37962,37750,37838,348195,0
2017-10-06,16:00:00,37855,37978,37854,37948,261539,0
2017-10-06,17:00:00,37958,37978,37869,37942,481829,0
2017-10-09,10:00:00,38010,38010,37859,37974,89961,0
2017-10-09,11:00:00,37973,38049,37961,38036,66695,0
2017-10-09,12:00:00,38037,38044,37927,37931,117529,0
2017-10-09,13:00:00,37925,37996,37921,37988,136987,0
2017-10-09,14:00:00,37984,37984,37921,37964,81088,0
2017-10-09,15:00:00,37963,38011,37938,37995,172054,0
2017-10-09,16:00:00,37994,38034,37934,37986,107919,0
2017-10-09,17:00:00,37993,38014,37888,38009,428844,0
