Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-12,16:00:00,74312,74752,74296,74727,0,0
2017-09-12,17:00:00,74767,74880,74574,74801,0,0
2017-09-12,18:00:00,74792,75033,74792,75000,0,0
2017-09-12,19:00:00,74997,75207,74945,75207,0,0
2017-09-12,20:00:00,75203,75275,75177,75203,0,0
2017-09-12,21:00:00,75193,75332,74971,74971,0,0
2017-09-12,22:00:00,74978,74978,74415,74538,0,0
2017-09-13,16:00:00,74542,74716,74196,74604,0,0
2017-09-13,17:00:00,74598,74793,74388,74456,0,0
2017-09-13,18:00:00,74491,74614,74405,74544,0,0
2017-09-13,19:00:00,74554,74758,74547,74712,0,0
2017-09-13,20:00:00,74719,75053,74719,75050,0,0
2017-09-13,21:00:00,75046,75120,74828,75116,0,0
2017-09-13,22:00:00,75087,75146,74787,74787,0,0
2017-09-14,16:00:00,74786,74786,74396,74658,0,0
2017-09-14,17:00:00,74688,74949,74589,74815,0,0
2017-09-14,18:00:00,74811,74885,74591,74635,0,0
2017-09-14,19:00:00,74636,74676,74532,74538,0,0
2017-09-14,20:00:00,74513,74746,74493,74711,0,0
2017-09-14,21:00:00,74703,74714,74518,74559,0,0
2017-09-14,22:00:00,74542,74881,74542,74656,0,0
2017-09-15,16:00:00,74654,75073,74647,75017,0,0
2017-09-15,17:00:00,74995,75323,74992,75259,0,0
2017-09-15,18:00:00,75263,75371,75206,75359,0,0
2017-09-15,19:00:00,75343,75547,75310,75539,0,0
2017-09-15,20:00:00,75528,75730,75516,75727,0,0
2017-09-15,21:00:00,75720,75793,75580,75710,0,0
2017-09-15,22:00:00,75686,75820,75645,75756,0,0
2017-09-18,16:00:00,75746,76246,75621,76206,0,0
2017-09-18,17:00:00,76219,76403,76133,76133,0,0
2017-09-18,18:00:00,76158,76179,75825,75825,0,0
2017-09-18,19:00:00,75812,76035,75786,76006,0,0
2017-09-18,20:00:00,76009,76150,75947,76124,0,0
2017-09-18,21:00:00,76110,76110,75732,75836,0,0
2017-09-18,22:00:00,75824,76072,75812,75990,0,0
2017-09-19,16:00:00,75988,76071,75669,75669,0,0
2017-09-19,17:00:00,75656,75678,75401,75491,0,0
2017-09-19,18:00:00,75506,75514,75299,75424,0,0
2017-09-19,19:00:00,75421,75717,75349,75716,0,0
