Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,7517.26,7518.27,7505.91,7510.18,48263855,0
2017-09-05,17:00:00,7507.38,7509.21,7488.05,7491.48,60909266,0
2017-09-05,18:00:00,7490.92,7503,7489.92,7501.22,42144598,0
2017-09-05,19:00:00,7489.56,7489.56,7470.49,7474.8,51537251,0
2017-09-05,20:00:00,7469.24,7481.26,7462.53,7478.24,39883032,0
2017-09-05,21:00:00,7481.79,7484.13,7472.74,7474.82,38679133,0
2017-09-05,22:00:00,7476.62,7483.23,7467.75,7476.16,145627236,0
2017-09-06,16:00:00,7489.49,7493.68,7483.71,7492.34,48029108,0
2017-09-06,17:00:00,7493.33,7506.52,7492.69,7497.95,60136379,0
2017-09-06,18:00:00,7499.37,7501.4,7496.54,7500.12,44893702,0
2017-09-06,19:00:00,7498.97,7500.76,7494.49,7495.34,34112774,0
2017-09-06,20:00:00,7497.3,7497.46,7489.27,7493.27,36350897,0
2017-09-06,21:00:00,7494.44,7501.52,7494.44,7498.1,45182230,0
2017-09-06,22:00:00,7497.2,7501.18,7488.69,7488.76,168636251,0
2017-09-07,16:00:00,7497.76,7507.62,7496.45,7497.67,49366010,0
2017-09-07,17:00:00,7490.16,7510.4,7490.16,7508.49,60378421,0
2017-09-07,18:00:00,7508.53,7508.53,7490.55,7491.63,51663667,0
2017-09-07,19:00:00,7491.03,7493.92,7486.09,7492.15,51612644,0
2017-09-07,20:00:00,7491.99,7496.54,7490.25,7492.67,45058431,0
2017-09-07,21:00:00,7493.85,7497.85,7491.38,7496.77,46998482,0
2017-09-07,22:00:00,7496.44,7502.35,7490.24,7501.28,126765334,0
2017-09-08,16:00:00,7495.29,7497.13,7482.37,7497.13,39137426,0
2017-09-08,17:00:00,7500.7,7511.56,7498.97,7510.06,55375102,0
2017-09-08,18:00:00,7511.79,7516.5,7508.18,7512.79,43526583,0
2017-09-08,19:00:00,7510.5,7521.12,7509.51,7520.74,37286428,0
2017-09-08,20:00:00,7518.74,7520.2,7514.45,7519.87,31512771,0
2017-09-08,21:00:00,7519.04,7526.59,7516.62,7520.31,37397873,0
2017-09-08,22:00:00,7519.96,7521.86,7512.49,7517.12,136339262,0
2017-09-11,16:00:00,7555.85,7574.06,7555.85,7571.89,50347885,0
2017-09-11,17:00:00,7573.41,7579.36,7573.41,7577.49,57458743,0
2017-09-11,18:00:00,7578.29,7583.44,7575.61,7582.05,43418538,0
2017-09-11,19:00:00,7582.64,7591.23,7581.18,7586.64,34320424,0
2017-09-11,20:00:00,7588.46,7597.39,7587.83,7594.94,32456575,0
2017-09-11,21:00:00,7595.73,7602.4,7595.73,7599.09,43167708,0
2017-09-11,22:00:00,7598.09,7602.33,7596.4,7602.33,163327544,0
2017-09-12,16:00:00,7610.6,7620.51,7610.6,7615.45,53128176,0
2017-09-12,17:00:00,7617.18,7617.76,7604.18,7608.07,65224474,0
2017-09-12,18:00:00,7608.47,7611.76,7605.53,7607.85,48039551,0
2017-09-12,19:00:00,7606.68,7607.62,7603.48,7607.23,42429017,0
2017-09-12,20:00:00,7608.56,7608.94,7599.5,7599.51,49246438,0
2017-09-12,21:00:00,7599.17,7605.12,7596.79,7604.58,61194538,0
2017-09-12,22:00:00,7603.36,7606.2,7601.14,7606.18,136548030,0
2017-09-13,16:00:00,7600.22,7603.77,7589.17,7589.17,44364821,0
2017-09-13,17:00:00,7588.55,7595.89,7585.63,7595.89,62529594,0
2017-09-13,18:00:00,7595.29,7598.56,7590.91,7595.6,42250675,0
2017-09-13,19:00:00,7596.78,7601.88,7594.59,7600.63,32346528,0
2017-09-13,20:00:00,7601.5,7601.77,7598.32,7598.32,32409999,0
2017-09-13,21:00:00,7598.7,7604.83,7598.12,7604.83,35943892,0
2017-09-13,22:00:00,7602.82,7605.09,7599.05,7605.09,134407740,0
2017-09-14,16:00:00,7597.05,7614.81,7593.01,7611.6,40448400,0
2017-09-14,17:00:00,7613.43,7617.62,7612.14,7616.22,53976874,0
2017-09-14,18:00:00,7614.49,7618.69,7614.01,7617.15,45848676,0
2017-09-14,19:00:00,7617.31,7623.63,7614.15,7621.2,34610677,0
2017-09-14,20:00:00,7619.92,7622.27,7618.6,7622.27,32097223,0
2017-09-14,21:00:00,7621.77,7624.26,7620.23,7620.23,36825288,0
2017-09-14,22:00:00,7619.37,7621.51,7617.37,7619.82,148960552,0
2017-09-15,16:00:00,7622.12,7628.9,7622.07,7622.78,153853911,0
2017-09-15,17:00:00,7622.55,7624.16,7617.37,7621.82,60166156,0
2017-09-15,18:00:00,7619.94,7627.25,7619.94,7627.02,41936673,0
2017-09-15,19:00:00,7626.94,7628.82,7626.51,7627.88,31661537,0
2017-09-15,20:00:00,7627.66,7630.2,7627.02,7627.92,29882709,0
2017-09-15,21:00:00,7627.81,7633.03,7627.81,7632.85,33196073,0
2017-09-15,22:00:00,7633.73,7642.37,7632.92,7642.37,343234860,0
2017-09-18,16:00:00,7650.27,7652.46,7645.17,7649.64,68350537,0
2017-09-18,17:00:00,7648.56,7649.09,7643.21,7646.95,78507457,0
2017-09-18,18:00:00,7645.39,7647.47,7643.29,7646.3,38548305,0
2017-09-18,19:00:00,7646.9,7646.9,7638.96,7642.03,34423459,0
2017-09-18,20:00:00,7641.28,7641.67,7634.29,7634.29,31954421,0
2017-09-18,21:00:00,7633.36,7636.12,7627.82,7635.54,46331015,0
2017-09-18,22:00:00,7635.76,7639.74,7634.48,7634.98,155590513,0
2017-09-19,16:00:00,7639.4,7646.62,7639.4,7639.61,39172067,0
2017-09-19,17:00:00,7641.89,7642.11,7635.77,7639.88,59506564,0
2017-09-19,18:00:00,7634.45,7638.53,7632.8,7636.9,47128216,0
2017-09-19,19:00:00,7638.24,7638.68,7632.96,7636.51,37373302,0
2017-09-19,20:00:00,7635.72,7640.81,7635.5,7640.32,30649151,0
2017-09-19,21:00:00,7640.62,7642,7636.83,7640.31,36697029,0
2017-09-19,22:00:00,7641.46,7643.57,7637.54,7637.54,132531252,0
2017-09-20,16:00:00,7645.07,7652.44,7645.07,7652.17,43671016,0
2017-09-20,17:00:00,7653.21,7664.2,7650.22,7664.02,50564039,0
2017-09-20,18:00:00,7668.36,7671.17,7666.02,7668.61,50398532,0
2017-09-20,19:00:00,7668.34,7671.66,7666.06,7667.12,33866484,0
2017-09-20,20:00:00,7667.03,7667.96,7662.21,7666.26,27158526,0
2017-09-20,21:00:00,7664.23,7664.23,7640.28,7656.84,62934360,0
2017-09-20,22:00:00,7652.61,7669.26,7651.35,7669.26,157663931,0
2017-09-21,16:00:00,7670.62,7670.62,7659.07,7665.32,37524503,0
2017-09-21,17:00:00,7669.13,7679.64,7666.15,7678.26,55235469,0
2017-09-21,18:00:00,7678.57,7678.94,7672.04,7672.6,41184574,0
2017-09-21,19:00:00,7673.24,7674.22,7667.02,7670.01,30826652,0
2017-09-21,20:00:00,7670.16,7670.64,7665.1,7666.23,32066386,0
2017-09-21,21:00:00,7665.99,7667.84,7663.08,7666.74,33098951,0
2017-09-21,22:00:00,7667.1,7667.42,7660.38,7660.75,134349257,0
2017-09-22,16:00:00,7659.36,7668.24,7656.1,7657.01,42265411,0
2017-09-22,17:00:00,7655.21,7660.63,7651.46,7653.4,57300984,0
2017-09-22,18:00:00,7653.71,7655.89,7649.29,7655.89,41993177,0
2017-09-22,19:00:00,7657.42,7660.24,7656.15,7657.54,33252278,0
2017-09-22,20:00:00,7656.89,7658.19,7652.13,7656.39,35107661,0
2017-09-22,21:00:00,7655.1,7657.66,7653.5,7655.98,37432127,0
2017-09-22,22:00:00,7656.63,7662.3,7656.18,7659.64,126055110,0
2017-09-25,16:00:00,7653.77,7662.35,7651.05,7655.01,47651951,0
2017-09-25,17:00:00,7655.9,7662.96,7641.8,7641.8,55550700,0
2017-09-25,18:00:00,7632.49,7648.62,7626.97,7645.1,45579045,0
2017-09-25,19:00:00,7643.53,7651.36,7638.38,7649.93,33790860,0
2017-09-25,20:00:00,7650.25,7650.34,7645.35,7648.48,32879918,0
2017-09-25,21:00:00,7649.09,7656.21,7649.09,7652.93,39162175,0
2017-09-25,22:00:00,7653.3,7661.77,7652.41,7661.33,155159763,0
2017-09-26,16:00:00,7666.71,7673.98,7666.71,7670.65,39168828,0
2017-09-26,17:00:00,7670.93,7676.65,7668.64,7671.14,48984363,0
2017-09-26,18:00:00,7670.42,7675.62,7667.48,7674.7,44320730,0
2017-09-26,19:00:00,7675.3,7676.98,7667.95,7670.53,31836127,0
2017-09-26,20:00:00,7669.74,7678.43,7669.74,7676.97,33572534,0
2017-09-26,21:00:00,7678.22,7679.92,7674.15,7679.92,35363704,0
2017-09-26,22:00:00,7680.02,7683.56,7671.98,7671.98,138288090,0
2017-09-27,16:00:00,7688.54,7692.41,7685.26,7685.55,51988771,0
2017-09-27,17:00:00,7688.7,7688.7,7657.2,7660.49,60791930,0
2017-09-27,18:00:00,7661.54,7672.22,7661.54,7670.61,49432454,0
2017-09-27,19:00:00,7667.85,7670.88,7664.39,7670.04,35656747,0
2017-09-27,20:00:00,7672.25,7672.25,7665.58,7667.17,35886585,0
2017-09-27,21:00:00,7667.1,7686.68,7667.1,7686.68,54014629,0
