Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,21815.76,21840.91,21806.63,21814.48,0,0
2017-09-06,17:00:00,21828.14,21847.02,21801.56,21812.31,0,0
2017-09-06,18:00:00,21818.81,21828,21797.71,21812.36,0,0
2017-09-06,19:00:00,21811.46,21827.37,21801.45,21824.7,0,0
2017-09-06,20:00:00,21825.68,21838.26,21820.77,21822.79,0,0
2017-09-06,21:00:00,21823.08,21846.52,21821.19,21832.94,0,0
2017-09-06,22:00:00,21833.59,21844.85,21807.1,21807.64,0,0
2017-09-07,16:00:00,21825.89,21850.01,21802.91,21809.05,0,0
2017-09-07,17:00:00,21810.74,21828.62,21762.23,21820.08,0,0
2017-09-07,18:00:00,21823.48,21826.64,21758.41,21766.8,0,0
2017-09-07,19:00:00,21767.26,21778.2,21746.05,21771.52,0,0
2017-09-07,20:00:00,21770.93,21780.05,21758.51,21764.19,0,0
2017-09-07,21:00:00,21764.17,21775.26,21756.35,21762.64,0,0
2017-09-07,22:00:00,21766.5,21788.77,21745.72,21784.78,0,0
2017-09-08,16:00:00,21755.85,21801.12,21731.53,21801.12,0,0
2017-09-08,17:00:00,21802.22,21829.97,21791.63,21817.6,0,0
2017-09-08,18:00:00,21823.06,21844.3,21809.98,21821.98,0,0
2017-09-08,19:00:00,21821.73,21843.69,21812.93,21837.51,0,0
2017-09-08,20:00:00,21836.94,21837.71,21810.94,21821.71,0,0
2017-09-08,21:00:00,21821.64,21833.56,21804.97,21816.4,0,0
2017-09-08,22:00:00,21816.1,21821.2,21786.51,21797.79,0,0
2017-09-11,16:00:00,21943.14,21989.93,21942.8,21981.65,0,0
2017-09-11,17:00:00,21989.96,22022.39,21986.31,22016.1,0,0
2017-09-11,18:00:00,22015.65,22037.73,22005.69,22030.31,0,0
2017-09-11,19:00:00,22030.75,22062.55,22025.18,22047,0,0
2017-09-11,20:00:00,22046.75,22067.1,22046.1,22060.24,0,0
2017-09-11,21:00:00,22060.49,22066.74,22048.83,22050.85,0,0
2017-09-11,22:00:00,22050.42,22059.27,22041.12,22057.37,0,0
2017-09-12,16:00:00,22107.58,22134.21,22100.63,22124.3,0,0
2017-09-12,17:00:00,22125.65,22133.08,22087.34,22106.8,0,0
2017-09-12,18:00:00,22104.18,22131.44,22098.29,22119.09,0,0
2017-09-12,19:00:00,22119.4,22124.71,22112.33,22115.2,0,0
2017-09-12,20:00:00,22115.08,22131.68,22114.84,22117.08,0,0
2017-09-12,21:00:00,22116.98,22121.06,22105.62,22107.79,0,0
2017-09-12,22:00:00,22107.3,22119.41,22097.08,22118.86,0,0
2017-09-13,16:00:00,22103.09,22132.14,22095.79,22114.8,0,0
2017-09-13,17:00:00,22117.74,22126.99,22108.73,22119.06,0,0
2017-09-13,18:00:00,22118.89,22130.73,22100.92,22119.44,0,0
2017-09-13,19:00:00,22120.1,22147.33,22119.49,22138.59,0,0
2017-09-13,20:00:00,22140.69,22144.6,22129.15,22131.81,0,0
2017-09-13,21:00:00,22131.8,22143.27,22129.28,22138.6,0,0
2017-09-13,22:00:00,22138.9,22158.18,22133.62,22158.18,0,0
2017-09-14,16:00:00,22146.13,22178.26,22138.73,22174.6,0,0
2017-09-14,17:00:00,22176.25,22179.08,22158.77,22167.58,0,0
2017-09-14,18:00:00,22169.16,22189.38,22164.3,22176.83,0,0
2017-09-14,19:00:00,22176.93,22212.11,22169.28,22209.96,0,0
2017-09-14,20:00:00,22209.99,22210.14,22196.81,22200.04,0,0
2017-09-14,21:00:00,22200.37,22211.13,22195.47,22201.62,0,0
2017-09-14,22:00:00,22200.36,22215.45,22195.4,22203.48,0,0
2017-09-15,16:00:00,22249.96,22251.51,22222.64,22226.9,0,0
2017-09-15,17:00:00,22226.64,22258.84,22214.84,22250.81,0,0
2017-09-15,18:00:00,22249.09,22255.26,22237.32,22250.32,0,0
2017-09-15,19:00:00,22249.86,22256.46,22241.99,22247.08,0,0
2017-09-15,20:00:00,22247.07,22255.37,22245.66,22250.3,0,0
2017-09-15,21:00:00,22250.37,22262.59,22249.34,22262.24,0,0
2017-09-15,22:00:00,22261.67,22275.02,22256.32,22268.34,0,0
2017-09-18,16:00:00,22297.92,22336.18,22283.35,22332.63,0,0
2017-09-18,17:00:00,22332.8,22344.74,22320.71,22338.52,0,0
2017-09-18,18:00:00,22338.56,22355.39,22338.55,22348.21,0,0
2017-09-18,19:00:00,22348.62,22354.15,22332.08,22343.2,0,0
2017-09-18,20:00:00,22343.32,22353.51,22334.51,22345.18,0,0
2017-09-18,21:00:00,22345.08,22345.18,22321,22333.41,0,0
2017-09-18,22:00:00,22333.72,22355.48,22327.38,22331.35,0,0
2017-09-19,16:00:00,22347.82,22366.34,22341.4,22344.86,0,0
2017-09-19,17:00:00,22344.95,22369.73,22342.98,22360.8,0,0
2017-09-19,18:00:00,22360.94,22370.53,22343.83,22367.94,0,0
2017-09-19,19:00:00,22368.37,22382.32,22363.62,22374.16,0,0
2017-09-19,20:00:00,22373.79,22382.79,22365.71,22381.48,0,0
2017-09-19,21:00:00,22381.52,22385.84,22372.38,22373.46,0,0
2017-09-19,22:00:00,22373.95,22379.57,22368.24,22370.8,0,0
2017-09-20,16:00:00,22351.38,22382.94,22351.38,22370,0,0
2017-09-20,17:00:00,22370.42,22381.14,22355.35,22367.29,0,0
2017-09-20,18:00:00,22371.34,22391.29,22362.81,22389.41,0,0
2017-09-20,19:00:00,22389.85,22399.33,22386.06,22390.94,0,0
2017-09-20,20:00:00,22390.34,22393.33,22367.01,22374.54,0,0
2017-09-20,21:00:00,22372.31,22387.26,22317.61,22379.68,0,0
2017-09-20,22:00:00,22372.31,22413.26,22359.29,22412.59,0,0
2017-09-21,16:00:00,22407.95,22419.43,22370.43,22384.22,0,0
2017-09-21,17:00:00,22383.33,22407.65,22370.69,22396.36,0,0
2017-09-21,18:00:00,22400.08,22405,22382,22384.43,0,0
2017-09-21,19:00:00,22385.01,22392.08,22368.33,22375.73,0,0
2017-09-21,20:00:00,22376.94,22383.05,22364.65,22374.08,0,0
2017-09-21,21:00:00,22374.13,22382.64,22361.18,22375.35,0,0
2017-09-21,22:00:00,22375.28,22382.67,22356.55,22359.23,0,0
2017-09-22,16:00:00,22328.32,22360.09,22328.32,22345.13,0,0
2017-09-22,17:00:00,22349.31,22364.31,22321.93,22328.9,0,0
2017-09-22,18:00:00,22329.08,22336.95,22321.74,22336.19,0,0
2017-09-22,19:00:00,22336.09,22345.91,22321.45,22321.77,0,0
2017-09-22,20:00:00,22322.22,22334.14,22299.58,22326.42,0,0
2017-09-22,21:00:00,22326.14,22338.94,22321.61,22325.96,0,0
2017-09-22,22:00:00,22326.75,22359.28,22326.4,22349.59,0,0
2017-09-25,16:00:00,22316.85,22353.5,22315.7,22337.21,0,0
2017-09-25,17:00:00,22338.98,22359.38,22286.05,22286.9,0,0
2017-09-25,18:00:00,22279.91,22284.72,22224.01,22268.76,0,0
2017-09-25,19:00:00,22269.87,22280.24,22238.44,22274.41,0,0
2017-09-25,20:00:00,22276.49,22296.17,22273.21,22281.45,0,0
2017-09-25,21:00:00,22281.52,22292.93,22270.65,22281.98,0,0
2017-09-25,22:00:00,22282.37,22303.28,22276.31,22296.09,0,0
2017-09-26,16:00:00,22319.98,22364.47,22319.98,22361.02,0,0
2017-09-26,17:00:00,22369.35,22369.35,22319.82,22321.8,0,0
2017-09-26,18:00:00,22321.4,22327.03,22289.12,22306.2,0,0
2017-09-26,19:00:00,22305.23,22318.39,22291.97,22306.67,0,0
2017-09-26,20:00:00,22306.08,22325.78,22303.59,22321.14,0,0
2017-09-26,21:00:00,22320.05,22322.34,22300.12,22308.72,0,0
2017-09-26,22:00:00,22309.29,22319.63,22279.52,22284.32,0,0
2017-09-27,16:00:00,22331.79,22371.1,22331.79,22341.8,0,0
2017-09-27,17:00:00,22343.53,22351.37,22255.8,22271.4,0,0
2017-09-27,18:00:00,22272.77,22301.64,22268.14,22290.6,0,0
2017-09-27,19:00:00,22289.94,22308.57,22276.29,22304.05,0,0
2017-09-27,20:00:00,22305.7,22313.35,22297.57,22310.54,0,0
2017-09-27,21:00:00,22311.65,22364.4,22311.65,22357.68,0,0
2017-09-27,22:00:00,22359.21,22370.24,22334.72,22340.71,0,0
2017-09-28,16:00:00,22305.78,22326.28,22288.97,22310.26,0,0
2017-09-28,17:00:00,22316.35,22362.9,22309.29,22352.38,0,0
2017-09-28,18:00:00,22353.45,22381.53,22348.41,22371.96,0,0
2017-09-28,19:00:00,22373.34,22394.74,22370.01,22383.69,0,0
2017-09-28,20:00:00,22383.27,22391.91,22372.74,22390.39,0,0
2017-09-28,21:00:00,22390.28,22393.46,22369.44,22377.23,0,0
