Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,9325.58,9329.61,9300.49,9328.16,0,0
2017-09-05,17:00:00,9331.46,9331.46,9289.29,9296.78,0,0
2017-09-05,18:00:00,9296.42,9330.27,9296.42,9317.78,0,0
2017-09-05,19:00:00,9316.02,9316.02,9259.75,9265.78,0,0
2017-09-05,20:00:00,9263.83,9303.42,9247.84,9297.91,0,0
2017-09-05,21:00:00,9297.84,9301.02,9275.48,9280.34,0,0
2017-09-05,22:00:00,9280.44,9289.41,9263.77,9267.42,0,0
2017-09-06,16:00:00,9252.77,9299.15,9237.91,9299.15,0,0
2017-09-06,17:00:00,9303.03,9345.56,9303.03,9315.24,0,0
2017-09-06,18:00:00,9318.44,9337.53,9316.82,9332.88,0,0
2017-09-06,19:00:00,9334.24,9337.72,9305.77,9309.18,0,0
2017-09-06,20:00:00,9308.84,9327.65,9297.11,9320.05,0,0
2017-09-06,21:00:00,9320.2,9341.76,9319.92,9323.07,0,0
2017-09-06,22:00:00,9321.4,9326.66,9308.66,9311.55,0,0
2017-09-07,16:00:00,9322.85,9356.01,9311.15,9322.73,0,0
2017-09-07,17:00:00,9327.02,9345.57,9309.9,9342.23,0,0
2017-09-07,18:00:00,9341.74,9344.53,9314.54,9321.73,0,0
2017-09-07,19:00:00,9321.75,9334.34,9318.33,9329.28,0,0
2017-09-07,20:00:00,9330.26,9349.44,9328.6,9347.49,0,0
2017-09-07,21:00:00,9346.42,9355.86,9336.47,9355.86,0,0
2017-09-07,22:00:00,9356.13,9356.75,9342.47,9344.23,0,0
2017-09-08,16:00:00,9336.5,9348.64,9296.33,9340.85,0,0
2017-09-08,17:00:00,9339.89,9360.47,9324.77,9357.44,0,0
2017-09-08,18:00:00,9359.87,9369.03,9350.54,9363.7,0,0
2017-09-08,19:00:00,9361.75,9379.98,9353.66,9379.58,0,0
2017-09-08,20:00:00,9378.9,9389.49,9373.72,9389.49,0,0
2017-09-08,21:00:00,9389.34,9398.82,9372.63,9377.85,0,0
2017-09-08,22:00:00,9378.22,9385.82,9372.04,9383.64,0,0
